dogum yili,gelir,abonelik suresi,destek_talebi_Sayisi,sehir,uyelik_Tipi,churn
2012,66212.0,10,5, kocaeli,Standart,1
1975,73525.0,26,7,Antalya,Standart,1
2021,77202.0,34,8,İzmir, Premium,1
1981,62635.0,51,1,Antalya,Standart,0
1984,93208.0,41,6,Antalya,Premium,1
1963,63828.0,7,1,Antalya,Standart,0
1982,48711.0,4,2,İzmir,Premium,0
2013,33420.0,58,1,Bursa,Platin,0
1962,126752.0,53,, kocaeli,standard ,0
1990,30301.0,50,9, kocaeli,Standart,1
1998,75236.0,45,,Ankara,Standart,1
1962,145294.0,11,1,bursa,Standart,0
2024,147858.0,29,1,bursa, Premium,0
2020,96235.0,56,2,istanbul ,standard ,0
1981,84240.0,36,9,bursa,Premium,1
1993,95726.0,25,,İzmir,Premium,0
2018,40492.0,21,1,Konya,Platin,0
1982,145668.0,57,5,İstanbul,Standart,0
2009,131279.0,36,7,istanbul , Premium,1
2019,36102.0,10,6,İstanbul,Premium,1
2002,80336.0,37,1, kocaeli,Standart,0
2020,148015.0,9,5,İstanbul,Premium,1
1975,115314.0,24,5,İstanbul,Standart,1
2022,56641.0,35,6,istanbul ,Standart,1
2022,64584.0,49,3,Ankara,Platin,0
2007,62745.0,35,5,Antalya,Standart,0
2022,53093.0,48,7,bursa,Premium,1
2011,96105.0,36,5,bursa,Standart,1
2015,133746.0,18,5,İzmir,Standart,1
2024,130199.0,49,5,istanbul ,Standart,0
1963,81885.0,39,3,İzmir,Standart,0
2011,66631.0,32,1,Konya,Platin,0
1967,141217.0,24,5,Konya,Standart,1
1981,102991.0,23,9,İzmir,Premium,1
1999,34014.0,32,1,istanbul ,Premium,0
1978,41093.0,37,3,İzmir,Platin,0
1964,48070.0,12,4,bursa, Premium,1
2020,65777.0,49,1,Bursa,Platin,0
1974,86958.0,55,1,İstanbul,Standart,0
1969,112074.0,13,8,Bursa,Standart,1
2013,40729.0,23,2,istanbul ,Standart,0
1962,129713.0,25,8,Bursa,Premium,1
2020,75017.0,35,7,Konya,Standart,1
2004,96320.0,41,, kocaeli,Premium,0
1968,57751.0,30,6,İstanbul,Premium,1
2007,136400.0,17,6,Antalya,Standart,1
1995,135864.0,49,3,istanbul ,Platin,0
1996,108069.0,20,2,İstanbul,Standart,0
2010,135647.0,48,1,Bursa,Standart,0
1964,135510.0,25,6,Konya,Platin,1
1962,84748.0,22,5,Ankara,Premium,1
1966,35801.0,13,9,Antalya,Platin,1
2014,49190.0,59,1,İstanbul,Premium,0
1964,79689.0,19,7,Konya,Standart,1
